PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Ferraro, D. P.",Argentina,"Topa, P. E.","Hermida, G. N.",,,,,,,,,,,2013,Acta Zoologica,Journal,Lumbar glands in the frog genera Pleurodema and Somuncuria (Anura: Leiuperidae): histological and histochemical perspectives,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Ferreira, R. B.",USA,"Faivovich, J.","Beard, K. H.","Pombal Jr, J. P.",,,,,,,,,,2015,Plos One,Journal,The First Bromeligenous Species of Dendropsophus (Anura: Hylidae) from Brazil's Atlantic Forest,amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Fiorillo, B.F.",Brazil,"Rossi, G. N.","Martins, M.",,,,,,,,,,,2019,Herpetology Notes,Journal,"Additional defensive behaviours of Dipsas mikanii (Schlegel, 1837) and Taeniophallus occipitalis (jan, 1863) (serpentes: Dipsadidae)",reptiles,0,,no,0,0,0,,no,0,0,1,US,McCallum et al. 2006,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Flood, N. J.",Canada,,,,,,,,,,,,,1989,Behavioral Ecology and Sociobiology,Journal,Coloration in New World orioles,birds,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Ford, E. B.",UK,,,,,,,,,,,,,1977,Ecological Genetics,Book,Balanced polymorphism in Panaxia dominula,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"On the wing it exhibits flash-coloration, for the undulating flight, with flickering scarlet which vanishes suddenly when the moth alights, makes it a difficult species to follow.",no,t,no,no,no,,,,,,,,,,,,,,,,,,,
"Fouquet, A.",French Guiana,"Orrico, V. G. D.","Ernst, R.","Blanc, M.","Martinez, Q.","Vacher, J.","Rodrigues, M. T.","Ouboter, P.","Jairam, R.","Ron, S.",,,,2015,Zootaxa,Journal,"A new Dendropsophus Fitzinger, 1843 (Anura: Hylidae) of the parviceps group from the lowlands of the Guiana Shield",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Frankfater, C. R.",USA,,,,,,,,,,,,,2004,PhD Thesis,Thesis,Defensive chemistry of tiger swallowtail butterfly caterpillars: effects of genetically and developmentally-based variation on predation,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash color displays,no,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"French, C. M.",USA,"Burkette, C.","Reichle, S.","Brown, J. L.",,,,,,,,,,2019,Zootaxa,Journal,The tadpole of Ameerega boehmei in southeastern Bolivia,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Gertsch, W. J.",USA,,,,,,,,,,,,,1939,Bulletin of the American Museum of Natural History,Journal,"A revision of the typical crab-spiders (Misumeninae) of America north of Mexico. Bulletin of the AMNH; v. 76, article 7.",invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"They are easily seen when in movement, but when they stop, and they do it quickly, they literally vanish from sight.",b,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Gibson, A. R.",Canada,"Falls, J. B.",,,,,,,,,,,,1988,The Biogeography of the Island Region of Western Lake Erie,Book,Melanism in the Common Garter Snake: A Lake Erie Phenomenon,reptiles,0,,no,0,0,0,,no,0,0,1,US,t,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Glaw, F.",Germany,"Castillo-Urbina, E.","Aguilar-Puntriano, C.","Vences, M.","Köhler, J.",,,,,,,,,2021,Spixiana,Journal,Anti-predator behaviour of the charismatic treefrog Cruziohyla craspedopus and its first record for central Peru,amphibians,0,,no,0,0,0,,no,0,0,1,UK,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,This sudden dynamic change in striking vs. cryptic colouration during the falling might serve to protect the frog from predation by misrepresenting the prey’s moving location due to the neural processing delay in predators caused by the flash lag effect and by displaying a different and contrasting colouration in comparison to that of the resting posture,"Murali 2018, Loeffler-Henry et al. 2018",no,no,no,no,,,,,,,,,,,,,,,,,,,
"Glaw, F.",Germany,"Scherz, M. D.","Rakotoarison, A.","Crottini, A.","Raselimanana,","Andreone, F.","Kohler, J.","Vences, M.",,,,,,2020,Vertebrate Zoology,Journal,Genetic variability and partial integrative revision of Platypelis frogs (Microhylidae) with red flash marks from eastern Madagascar,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,1,0,1,Vences et al. 1999,0,1,0,no,no,0,0,yes,"rather sharply delimited, bright orange or red markings on the posterodorsal and ventral thigh, shank, and posterior venter, which we here refer to as flash marks (following and slightly expanding the definition of this character by VenceS et al., 1999), and provide a partial revision based on an integrative species delimitation.",Vences et al. 1999,t,"""because their hidden color is only revealed while in flight, these are flash displays.""",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Gonzalez, R. C.",Brazil,"De Oliveira, U. S. C.",,,,,,,,,,,,2020,Herpetology Notes,Journal,"Death-feigning behaviour in Micrurus ortonii (Schmidt, 1953)(Elapidae) in northern Brazil",reptiles,0,,no,0,0,0,,no,0,0,1,UK,"McCallum et al., 2006",0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,This “flash colouration” might also play a role in startling potential predators,"McCallum et al., 2006",t,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",Brazil,"Bolívar-García, W.",,,,,,,,,,,,2021,Zookeys,Journal,"A new species of Leucostethus (Anura, Dendrobatidae) from Gorgona Island, Colombia",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",Brazil,,,,,,,,,,,,,2007,Zootaxa,Journal,"A new, toxic species of Colostethus (Anura: Dendrobatidae: Colostethinae) from the Cordillera Central of Colombia",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",Brazil,"Acosta, A.","Rada, M.",,,,,,,,,,,2007,Copeia,Journal,A name for the species of Allobates (Anura: Dendrobatoidea: Aromobatidae) from the Magdalena Valley of Colombia,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",Brazil,"Rada, M.","Anganoy-Criollo, M.","Batista, A.","Dias, P. H.","Jeckel, A. M.","Machado, D. J.","Rueda-Almonacid, J. V.",,,,,,2017,South American Journal of Herpetology,Journal,Phylogenetic systematics of dart-poison frogs and their relatives revisited (Anura: Dendrobatoidea),amphibians,0,,no,0,0,0,,on,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",Colombia,"Humphrey, E. C.","Myers, C. W.",,,,,,,,,,,1997,Journal of Orthoptera Research,Journal,The median lingual process of frogs: a bizarre character of Old World ranoids discovered in South American dendrobatids,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",USA,"Rodriguez, L. O.",,,,,,,,,,,,2001,Evolutionary Ecology Research,Journal,"Two new species of frogs of the genus Colostethus (Dendrobatidae) from Peru and a redescription of C. trilineatus (Boulenger, 1883)",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",USA,"Ardila-Robayo, M. C.",,,,,,,,,,,,2002,Herpetologica,Journal,A new species of Colostethus (Anura: Dendrobatidae) from the eastern slopes of the Cordillera Oriental of Colombia,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Grant, T.",USA,"Myers, C .W.",,,,,,,,,,,,2013,The Wilson Bulletin,Journal,"Review of the frog genus Silverstoneia, with descriptions of five new species from the Colombian Chocó (Dendrobatidae: Colostethinae)",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Greene, H. W.",USA,,,,,,,,,,,,,1973,Journal of Herpetology,Journal,Defensive tail display by snakes and amphisbaenians,reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,"Robinson 1969, Davis 1948 ",1,0,0,no,0,0,0,no,no,0,0,yes,"There are several possible explanations for tail display by snakes and amphisbaenians, including: (i) it has no function; (ii) it is an intraspecific signal with respect to territory or courtship; (iii) it serves to attract prey; (iv) it is a ""flash display"" and disorients a predator;",no,b,"Robinson (1969) discussed flash displays as escape measures, and pointed out that they make the prey appear to vanish when the flash colors are suddenly hidden.",Robinson 1969,b,yes,"Davis (1948) discussed ""flash display"" by several species, alluding to the sudden appearance of bright colors, but there are several snakes that display a completely drab col",Davis 1948,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Grunwald, C. I.",Mexico,"Reyes-Velasco, J.","Franz-Chavez, H.","Flores, K. I. M.","Ahumada-Carillo, I. T.","Rodriguez, C. M.","Jones, J. M.",,,,,,,2021,Amphibian and Reptile Conservation,Journal,"Two new species of Eleutherodactylus (Anura: Eleutherodactylidae) from Southern Mexico, with comments on the taxonomy of related species and their advertisement calls",amphibians,0,,no,0,0,1,US,no,0,1,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Guayasamin, J. M.",Ecuador,"Krynak, K.","Culebras, J.","Hutter, C. R.",,,,,,,,,,2015,Zoological Journal of the Linnean Society,Journal,Phenotypic plasticity raises questions for taxonomically important traits: a remarkable new Andean rainfrog (Pristimantis) with the ability to change skin texture,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Guimarães, C. D. S.",Brazil,,,,,,,,,,,,,2016,Thesis,Thesis,"Taxonomia e história natural de anfíbios anuros da Serra do Brigadeiro, Mata Atlântica, Minas Gerais",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Guthrie, R. D.",USA,,,,,,,,,,,,,1971,Behaviour,Journal,A New Theory of Mammalian Rump Patch Evolution,mammals,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,"flash, tail-flash signal, flashing",no,1,0,yes,"t. While at rest, the animal is moderately well concealed, but it explodes in a blaze of white when alarmed. The flanks and vest portion are white and can be erected by pulling the skin dorsally. The first few leaps are accompanied by a flashing of this white hair in the direction of the observe",no,b,"us. According to this theory, when danger is near individuals flash their white rumps at other members of the group to warn them of the approaching dan",no,b,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Haddad, C. F. B.",Brazil,"Martins, M.",,,,,,,,,,,,1994,Herpetologica,Journal,Four species of Brazilian poison frogs related to Epipedobates pictus (Dendrobatidae): taxonomy and natural history observations,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Hadley, M. E.",USA,,,,,,,,,,,,,1972,American Zoologist,Journal,Functional Significance of Vertebrate lntegumental Pigmentation,various,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,1,flash devices,no,1,0,yes,"Other animals utilize flash coloration to confuse their enemies. The conspicuous, brightly colored areas of the body are in general normally concealed during rest but become brightly revealed during escape movements",t,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Hammond, R.",UK,,,,,,,,,,,,,1994,PhD thesis,Thesis,"Geographical and Temporal Variation of Biochemical and Colour-pattern Polymorphisms in the European Moth, Noctua Pronuba L.",invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Hecht, M. K.",USA,"Walters, V.","Ramm, G.",,,,,,,,,,,1955,Copeia,Journal,"Observations on the natural history of the Bahaman pigmy boa, Tropidophis pardalis, with notes on autohemorrhage",reptiles,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Hernández-Austria, R.",Mexico,"García-Vázquez, U. O.","Grünwald, C. I.","Parra-Olea, G.",,,,,,,,,,2022,Systematics and Biodiversity,Journal,"Molecular phylogeny of the subgenus Syrrhophus (Amphibia: Anura: Eleutherodactylidae), with the description of a new species from Eastern Mexico",amphibians,0,,no,0,0,1,UK,no,0,1,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Heron, H. D. C.",South Africa,"Jolivet, P.","Santiago-Blay, J. A.","Schmitt, M.",,,,,,,,,,2008,Research on Chrysomelidaea,Book Chapter,"The biology of Aspidomorpha submutata Weise, 1899 (Coleoptera: Chrysomelidae: Cassidinae)",invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Heyer, W. R.",USA,"Rand, A. S.","Da Cruz, C. A. G.","Peixoto, O. L.","Nelson, C. E.",,,,,,,,,1990,Arquivos de Zoologica,Journal,Frogs of Boracéia,amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Heyer, W. R.",USA,,,,,,,,,,,,,1995,Proceedings of the Biological Society of Washington,Journal,South American rocky habitat Leptodactylus (Amphibia: Anura: Leptodactylidae) with description of two new species,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,yes,Top of thigh with orange-red flash mark (which is concealed in the frog's normal position),no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Hickman, G. C.",South Africa,,,,,,,,,,,,,1979,Mammalian Review,Journal,The mammalian tail: a review of functions,mammals,0,,no,0,0,0,,no,0,0,1,US,"Edmunds, 1974",1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"The conspicuous white coloration of the ventral side of the tail of some ungulates (Fig. 6) and lagomorphs may serve as flash coloration. A sudden change to cryptic coloration when the animal lowers the tail or turns around, completely disrupts the searching image of the predator, and it appears as though the animal has vanished.","Edmunds, 1974",b,no,no,no,,,,,,,,,,,,,,,,,,,
"Hingston, R. W. G.",UK,,,,,,,,,,,,,1929,The Journal of the Bombay Natural History Society,Journal,"A study in insect protection (Anoplocnemis phasiana, Fabr.)",invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,"flash, ""red signal flashing danger""",no,0,1,yes,"a red signal flashing danger, only shown when the insect is in flight. The flash tells that the creature is offensive.",no,t,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Huheey, J. E.",USA,,,,,,,,,,,,,1988,The American Naturalist,Journal,Mathematical models of mimicry,various,0,,no,0,0,0,,no,0,0,1,US,"Cott 1940, Wickler 1968",0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Humphries, D. A.",UK,"Driver, P. M.",,,,,,,,,,,,1967,Science,Journal,Erratic display as a device against predators,various,0,,no,0,0,0,,no,0,0,1,US,Cott 1940,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Humphries, D. A.",UK,"Driver, P. M.",,,,,,,,,,,,1970,Oecologia,Journal,Protean defence by prey animals,various,0,,no,0,0,0,,no,0,0,1,US,Cott 1940,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Hunt, P.",Canada,,,,,,,,,,,,,1978,Masters Thesis,Thesis,"Communicative behaviour of three grasshopper species of Quebec (Orthoptera, Acrididae, Gomphocerinae).",invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"The fact that flash colouration is displayed by non-cr~pitating speci~s and that sorne females alsa possess çonspicuously caloure'd"" wings, has leÇl to the belief that flash colouratian is,also a probable escape rnechanisrn used to confuse large predators.",no,no,no,no,no,yes,"In such performances males fly up from the ground,and snap their hind wings (crepitate) and /or display flash colouration, then settle back to the ground again.",no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Hutter, C. R.",USA,"Guayasamin, J. M.",,,,,,,,,,,,2015,Neotropical Biodiversity,Journal,Cryptic diversity concealed in the Andean cloud forests: two new species of rainfrogs (Pristimantis) uncovered by molecular and bioacoustic data,amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Huxley, J.",UK,"Barnard, P. C.",,,,,,,,,,,,1988,Zoological Journal of the Linnean Society,Journal,Wing-scales of Pseudoleptocerus chirindensis Kimmins (Trichoptera: Leptoceridae),invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Jackson, J. F.",Brazil,,,,,,,,,,,,,1979,Copeia,Journal,Effects of some ophidian tail displays on the predatory behavior of grison (Galictis sp.),reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,Greene 1973,1,0,0,no,0,0,0,no,no,0,0,yes,lear. Greene (1973) suggested that tail displays may function defensively in three different ways: 1) to divert attack to the tail; 2) to inhibit attack through an aposematic or protean display; 3) to disorient the predator through a flash,Greene 1973,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Johnson, C. R.",USA,,,,,,,,,,,,,1975,Zoological Journal of the Linnean Society,Journal,"Defensive display behaviour in some Australian and Papuan-New Guinean pygopodid lizards, boid, colubrid and elapid snakes",reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,"Johnsgard (1967), Green (1973)",1,0,0,no,0,0,0,no,no,0,0,yes,"Johnsgard (1967) and Greene (1973) proposed a number of possible explanations for tail display including (1) it has no function, (2) it is an intraspecific signal with respect to territory or courtship behaviour, (3) it serves to attract prey, (4) it is a “flash display” disorientating the predator,",Johnsgard (1967) and Greene (1973),b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Juncá, F. A.",Brazil,"Napoli, M. F.","Mercês, E. A.","Abreu, R. O.",,,,,,,,,,2015,Herpetologica,Journal,"A new species of the Scinax ruber clade (Anura, Hylidae) from the Espinhaço Range, northeastern Brazil",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kamler, J. F.",UK,,,,,,,,,,,,,2008,African Journal of Ecology,Journal,Ear flashing behaviour of cape hares (Lepus capensis) in South Africa,mammals,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,ear flashing,no,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kamler, J. F.",UK,"Ballard, W. B.",,,,,,,,,,,,2006,The American Midland Naturalist,Journal,Ear flashing behavior of black-tailed jackrabbits (Lepus californicus),mammals,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flashing/flashing behavior,no,1,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kazara, H.C.",UK,,,,,,,,,,,,,2019,PhD Thesis,Thesis,"The Role of Vigilance and Alarm Calling in the Red Junglefowl, Gallus gallus",birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,Murali et al. 2019,0,1,0,no,no,0,0,no,no,no,no,no,no,no,yes,"More recent work has suggested that dynamic colour changes in large groups, such as the flash mark colouration found in both birds and fish, could add to the confusion effect through hindering a predators ability to pinpoint prey location (Murali et al., 2019)",Murali et al. 2019,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kettlewell, H. B. D.",UK,,,,,,,,,,,,,1956,Proceedings of the Royal Society of London. Series B-Biological Sciences,Journal,A resume of investigations on the evolution of melanism in the Lepidoptera,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kim, Y.",South Korea,"Hwang, Y.","Bae, S.","Sherratt, T. N.","An, J.","Choi, S.","Miller, J. C.","Kang, C.",,,,,,2020,Proceedings of the Royal Society of London. Series B-Biological Sciences,Journal,Prey with hidden colour defences benefit from their similarity to aposematic signals,invertebrates,0,,no,0,0,1,UK,no,0,1,0,,no,0,0,1,Edmunds 2008,1,0,0,no,0,0,1,flash signals,no,1,0,yes,"we define flash displays as a behaviour that is performed only in motion to confuse or misdirect a predator in the pursuit of prey [12,13].",no,b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kolenc, F.",Uruguay,"Borteiro, C.","Baldo, D.","Ferraro, D. P.","Prigioni, C.",,,,,,,,,2009,Zootaxa,Journal,"The tadpoles and advertisement calls of Pleurodema bibroni Tschudi and Pleurodema kriegi (Müller), with notes on their geographic distribution and conservation status (Amphibia, Anura, Leiuperidae)",amphibians,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kondratieff, B. C.",USA,"Opler, P. A.","Garhart, M. C.","Schmidt, J. P.",,,,,,,,,,2004,Contributions of the C.P. Gillette Museum of Arthropod Diversity Colorado State University,Journal,"Insects of Western North America 4. Survey of selected insect taxa of Fort Sill, Comanche County, Oklahoma. 2, Dragonflies (Odonata), stoneflies (Plecoptera) and selected moths (Lepidoptera)",invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"The adults have bark-like forewings and brightly colored hindwings. The latter are hidden when the adults are at rest, but when the aduls are disturbed and fly these bright colors are flashed any draw the attention of vertebrate predators, especially birds. The adults alight quickly and rapidly cover their hindwings with the result that birds are usually unable to locate them. This “flash coloration” is akin to a “bait and switch” procedure.",no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Koot, E. M.",New Zealand,,,,,,,,,,,,,2018,PhD thesis,Thesis,The ecology and evolution of New Zealand's endemic alpine gresshoppers,invertebrates,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,no,0,1,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kraus, F.",USA,,,,,,,,,,,,,2012,Herpetologica,Journal,A new species of nyctimystes (Anura: Hylidae) from papua new guinea,amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash markings,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kraus, F.",USA,,,,,,,,,,,,,2017,Journal of Herpetology,Journal,"A New Insular Species of Oreophryne (Anura, Microhylidae) from Papua New Guinea",amphibians,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,0,no,0,0,1,flash markings,no,0,1,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Kravchuk, L.",USA,"Watson, C. M.",,,,,,,,,,,,2020,Animal Behavior and Cognition,Journal,Corn snakes can behaviorally enhance crypsis by choosing complex backgrounds and substrate,reptiles,0,,no,0,0,0,,no,0,0,1,US,"Bae et al., 2019; Murali, 2018",1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
