PrimaryAuthor,PrimaryCountry,Author2,Author3,Author4,Author5,Author6,Author7,Author8,Author9,Author10,Author11,Author12,Author13,Year,PublicationTitle,PublicationType,TitleChapter,Class,FlashBehaviour,SpellingFlashBehaviour,CitationFlashBehaviour,BehaviourFlashBehaviour,MorphologyFlashBehaviour,FlashColour,SpellingFlashColour,CitationFlashColour,BehaviourFlashColour,MorphologyFlashColour,FlashColouration,SpellingFlashColouration,CitationFlashColouration,BehaviourFlashColouration,MorphologyFlashColouration,FlashDisplay,CitationFlashDisplay,BehaviourFlashDisplay,MorphologyFlashDisplay,FlashMark,CitationFlashMark,BehaviourFlashMark,MorphologyFlashMark,Other,OtherText,CitationOther,BehaviourOther,MorphologyOther,Definition,Definition1Text,CitationDefinition1,BehaviourMorphologyDefinition1,Definition2Text,CitationDefinition2,BehaviourMorphologyDefinition2,Description,Description1Text,CitationDescription1,BehaviourMorphologyDescription1,Description2Text,CitationDescription2,BehaviourMorphologyDescription2,,,,,,,,,,,,,,,,,,,
"Borteiro, C.",Uruguay,"Rosset, S. D.","Kolenc, F.","Barrasso, D. A.","Lescano, J. N.","Baldo, D.",,,,,,,,2018,Current Herpetology,Journal,Stereotyped defensive behaviours in frogs of the genus Odontophrynus (Amphibia: Anura: Odontophrynidae),amphibians,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Bortolloti, G. R.",Canada,,,,,,,,,,,,,2006,Bird Coloration: Function and Evolution,Book Chapter,"Natural selection and coloration: protection, concealment, advertisement or deception?",birds,0,,no,0,0,0,,no,0,0,0,,no,0,0,0,no,0,0,1,no,0,1,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Bowers, B. B.",USA,"Bledsoe, A. E.","Burghardt, G. M.",,,,,,,,,,,1993,Journal of Comparative Psychology,Journal,Responses to escalating predatory threat in garter and ribbon snakes (Thamnophis),reptiles,0,,no,0,0,0,,no,0,0,0,,no,0,0,1,Greene 1973,1,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"Greene (1973) outlined a number of possible functions of tail waving in snakes including: no function, flash display (especially if the tail is brightly colored), decoy to divert attack to a less vulnerable target, and warning signal. As garter snakes do not have contrasting, brightly colored tails and are for the most part harmless, tail waving probably does not serve as either a flash display or as a warning.",Greene 1973,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Boyes, D.",UK,"Holland, P. W. H.",,,,,,,,,,,,2022,Wellcome Open Research,Preprint,"The genome sequence of the large yellow underwing, Noctua pronuba (Linnaeus, 1758)",invertebrates,0,,no,0,0,0,,no,0,0,1,UK,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,yes,"When disturbed and the moth takes flight, the yellow hindwings are suddenly revealed, plausibly acting as ‘flash colouration’ to startle predators.",no,b,no,no,no,,,,,,,,,,,,,,,,,,,
"Brakefield, P. M.",UK,"Larsen, T. B.",,,,,,,,,,,,1984,Herpetologica,Journal,The evolutionary significance of dry and wet season forms in some tropical butterflies,invertebrates,0,,no,0,0,0,,no,0,0,1,UK,"Blest, 1957; Edmunds, 1974; Brakefield, 1984 and also Robbins, 1980",0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Large well-differentiated eyespots, which may be associated with a form of flash colouration, can startle or confuse a predator and so evoke a withdrawal response"," Blest, 1957; Edmunds, 1974; Brakefield, 1984 and also Robbins, 1980",b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brakefield, P. M.",UK,"Shreeve, T.","Thomas, J. A.",,,,,,,,,,,1992,The Ecology of Butterflies in Britain,Book Chapter,"Avoidance, concealment and defence",invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,1,0,1,"Blest 1957; Coppinger 1969, 1970",1,0,0,no,0,0,0,no,no,0,0,yes,"More fully differentiated and larger eyespots are often hidden at rest. They may be suddenly or quickly exposed on disturbance, startling or confusing a predator and causing it to withdraw (Blest 1957; Coppinger 1969, 1970 ). Some Lepidoptera show this type of 'flash' display associated with patches of bright colour rather than eyespots, though large eyespots are frequently associated with bright patches ot colour","Blest 1957; Coppinger 1969, 1970",b,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brakefield, P. M.",UK,"Liebert, T. G.",,,,,,,,,,,,1985,Zoological journal of the Linnean Society,Journal,Studies of colour polymorphism in some marginal populations of the aposematic jersey tiger moth Callimorpha quadripunctaria,invertebrates,0,,no,0,0,0,,no,0,0,1,US,no,0,1,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brasileiro, C. A.",Brazil,"Haddad, C. F. B.","Sawaya, R. J.","Martins, M.",,,,,,,,,,2007,Zootaxa,Journal,"A new and threatened species of Scinax (Anura: Hylidae) from Queimada Grande Island, southeastern Brazil",amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brasileiro, C. A.",Brazil,"Oyamaguchi, H. M.","Haddad, C. F. B.",,,,,,,,,,,2007,Journal of Herpetology,Journal,A new island species of Scinax (Anura; Hylidae) from southeastern Brazil,amphibians,0,,no,0,0,1,US,no,0,1,0,,no,0,0,0,no,0,0,0,no,0,0,0,no,no,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,
"Brodie, E. D. Jr",USA,"Formanowicz, D. R.",,,,,,,,,,,,1981,Journal of Herpetology,Journal,Palatability and antipredator behavior of the treefrog Hyla versicolor to the shrew Blarina brevicauda,amphibians,0,,no,0,0,0,,no,0,0,1,US,Dickerson 1908,1,0,0,no,0,0,0,no,0,0,0,no,no,0,0,yes,"Dickerson suggested that these function as flash coloration which disorients and confuses an attacking predator. She also suggested that this bright coloration might warn predators of the frog's ""poisonous nature""",Dickerson 1908,b,no,no,no,yes,"Dickerson (1908) recognized several of the antipredator adaptations of Hyla versicolor. They are cryptic at rest in a variety of habitats because of their highly mottled and variable color pattern but have bright yellow or orange patches located in the groin region and along the undersides of the hind legs. Dickerson suggested that these function as flash coloration which disorients and confuses an attacking predator. She also suggested that this bright coloration might warn predators of the frog's ""poisonous na",Dickerson 1908,t,no,no,no,,,,,,,,,,,,,,,,,,,
